customer_id,account_id,mask,name,official_name,subtype,type,balance_available,balance_current,balance_limit,iso_currency_code
cu_00000,acc_086afe009d2de20372b5,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,0,-165.09,,USD
cu_00001,acc_c7c57e9122edfe7c0cf3,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,114.83,114.83,,USD
cu_00001,acc_21059410dbe4dc27501a,0083,Freedom Card,Freedom Rewards Card,credit card,credit,1475.15,4124.85,5600,USD
cu_00002,acc_be07083489a6e0169f7d,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,46739.76,46739.76,,USD
cu_00002,acc_8a95d166e4ce5f1116c6,9921,Online Savings,High Yield Online Savings,savings,depository,71217.72,71217.72,,USD
cu_00003,acc_0b6192f88e20849b21c7,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,12806.26,12806.26,,USD
cu_00003,acc_9ca8a813829e18845eb8,0083,Freedom Card,Freedom Rewards Card,credit card,credit,6900.08,7099.92,14000,USD
cu_00004,acc_2eddcfa280d96055a8f9,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,83803.31,83803.31,,USD
cu_00004,acc_cc9aca23fb36d215c102,9921,Online Savings,High Yield Online Savings,savings,depository,19311.71,19311.71,,USD
cu_00004,acc_088ee0328f00aaca78b2,0083,Freedom Card,Freedom Rewards Card,credit card,credit,8005.68,2594.32,10600,USD
cu_00005,acc_7331f29d7612532cbb6b,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,698.22,698.22,,USD
cu_00005,acc_8789d22209ae4a173013,9921,Online Savings,High Yield Online Savings,savings,depository,142.57,142.57,,USD
cu_00005,acc_cc0dc4ae4faddab712d0,0083,Freedom Card,Freedom Rewards Card,credit card,credit,1291.96,608.04,1900,USD
cu_00006,acc_54e6ccf667aa0095c231,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,637.31,637.31,,USD
cu_00007,acc_9215f85894ebb0b0a329,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,2546.78,2546.78,,USD
cu_00007,acc_1087f369ef103e448702,0083,Freedom Card,Freedom Rewards Card,credit card,credit,2858.64,1841.36,4700,USD
cu_00008,acc_3be3deef99f399e15f9a,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,4745.46,4745.46,,USD
cu_00008,acc_3d4b1a8851ca95bfdff9,0083,Freedom Card,Freedom Rewards Card,credit card,credit,12037.41,1262.59,13300,USD
cu_00009,acc_4af706d2f29acac9b9bd,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,13510.74,13510.74,,USD
cu_00009,acc_90b3484e5397d6e1b48f,0083,Freedom Card,Freedom Rewards Card,credit card,credit,7100.78,2799.22,9900,USD
cu_00010,acc_fd4951ea491e7d7fd8f3,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,0,-50.9,,USD
cu_00010,acc_b5f86d534058a2743170,9921,Online Savings,High Yield Online Savings,savings,depository,180.93,180.93,,USD
cu_00010,acc_c43f200931e4fd11ab18,0083,Freedom Card,Freedom Rewards Card,credit card,credit,646.29,353.71,1000,USD
cu_00011,acc_6ba51225a3aea1f05e08,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,31878.3,31878.3,,USD
cu_00011,acc_a563586f1498914b1fd4,0083,Freedom Card,Freedom Rewards Card,credit card,credit,5628.17,1071.83,6700,USD
cu_00012,acc_f20e3840a989b83d16dc,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,1044.79,1044.79,,USD
cu_00013,acc_8b8307937e1dee48701a,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,709.54,709.54,,USD
cu_00014,acc_959ed37964b2cc5df596,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,9799.68,9799.68,,USD
cu_00014,acc_e44204c9bc447d42e2df,9921,Online Savings,High Yield Online Savings,savings,depository,1776.51,1776.51,,USD
cu_00015,acc_e5c94a592a7d5231d643,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,6541.61,6541.61,,USD
cu_00015,acc_95a8f1e4f08203205468,0083,Freedom Card,Freedom Rewards Card,credit card,credit,1528.96,371.04,1900,USD
cu_00016,acc_ff3458717f279e03192c,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,222.53,222.53,,USD
cu_00017,acc_41d3fbfac0a7b8df8b65,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,6054.97,6054.97,,USD
cu_00017,acc_8ad1bd1ba08c2720980c,9921,Online Savings,High Yield Online Savings,savings,depository,311.84,311.84,,USD
cu_00017,acc_f9a09f6d4e1ca4831ca5,0083,Freedom Card,Freedom Rewards Card,credit card,credit,2670.09,129.91,2800,USD
cu_00018,acc_007a6b987c59959733ea,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,0,-34.47,,USD
cu_00018,acc_56b6fa0258382b44276e,9921,Online Savings,High Yield Online Savings,savings,depository,133.81,133.81,,USD
cu_00018,acc_1b904241bb151857f488,0083,Freedom Card,Freedom Rewards Card,credit card,credit,1573.14,1726.86,3300,USD
cu_00019,acc_326b35391ec12ce17426,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,7562.92,7562.92,,USD
cu_00019,acc_6b1d5a69c39b8a655042,0083,Freedom Card,Freedom Rewards Card,credit card,credit,1150.8,7249.2,8400,USD
cu_00020,acc_597e6b8efe39a5f33b03,4410,Adv Plus Checking,Advantage Plus Checking,checking,depository,26793.9,26793.9,,USD
