customer_id,liability_type,account_id,last_payment_amount,minimum_payment_amount,last_statement_balance,is_overdue,interest_rate_percentage,apr_purchase,next_monthly_payment,expected_payoff_date
cu_00001,credit,acc_21059410dbe4dc27501a,515.6,103.12,4124.85,False,,24.49,,
cu_00002,mortgage,acc_f6c3a5c570f48f2440f6,4915,,,False,6.375,,4915,
cu_00003,credit,acc_9ca8a813829e18845eb8,177.5,177.5,7099.92,False,,24.49,,
cu_00003,student,acc_69dc55f11b1690ca5323,331.49,331.49,,False,5.5,,,
cu_00004,credit,acc_088ee0328f00aaca78b2,64.86,64.86,2594.32,False,,24.49,,
cu_00005,credit,acc_cc0dc4ae4faddab712d0,35.0,35.0,608.04,False,,24.49,,
cu_00005,mortgage,acc_6cfe50521f7bb20957c2,1840,,,False,6.375,,1840,
cu_00007,credit,acc_1087f369ef103e448702,230.15,46.03,1841.36,False,,24.49,,
cu_00008,credit,acc_3d4b1a8851ca95bfdff9,35.0,35.0,1262.59,False,,24.49,,
cu_00009,credit,acc_90b3484e5397d6e1b48f,349.9,69.98,2799.22,False,,24.49,,
cu_00009,mortgage,acc_67fc7355ba4d0bac91c6,3690,,,False,6.375,,3690,
cu_00010,credit,acc_c43f200931e4fd11ab18,175.0,35.0,353.71,False,,24.49,,
cu_00011,credit,acc_a563586f1498914b1fd4,35.0,35.0,1071.83,False,,24.49,,
cu_00011,student,acc_e92fd9d23f0765fbc970,96.98,96.98,,False,5.5,,,
cu_00012,student,acc_5af5144deb24c0608369,412.9,412.9,,False,5.5,,,
cu_00013,student,acc_8d94611cbe098b5e0780,247.72,247.72,,False,5.5,,,
cu_00015,credit,acc_95a8f1e4f08203205468,175.0,35.0,371.04,False,,24.49,,
cu_00017,credit,acc_f9a09f6d4e1ca4831ca5,35.0,35.0,129.91,False,,24.49,,
cu_00017,student,acc_6ac9f65518ce14c95c19,131.08,131.08,,False,5.5,,,
cu_00018,credit,acc_1b904241bb151857f488,215.85,43.17,1726.86,False,,24.49,,
cu_00019,credit,acc_6b1d5a69c39b8a655042,181.23,181.23,7249.2,False,,24.49,,
cu_00021,credit,acc_c2edc52c7b04ed4a8754,115.45,115.45,4618.09,False,,24.49,,
cu_00021,mortgage,acc_4c10b7d5daa274e9bf81,985,,,False,6.375,,985,
cu_00022,credit,acc_8985509bb8404ccd0ff7,343.05,68.61,2744.3,False,,24.49,,
cu_00022,student,acc_d9ec3e01fed7c29ab7cc,256.44,256.44,,False,5.5,,,
cu_00023,credit,acc_db05e8d4d13e30fe9eda,175.0,35.0,936.32,False,,24.49,,
cu_00024,credit,acc_61765d0f353d8a6a9436,426.2,85.24,3409.7,False,,24.49,,
cu_00025,credit,acc_11f794c6c27e061c6f12,140.8,35.0,140.8,False,,24.49,,
cu_00026,credit,acc_e4295ffb60e3b7138a9f,701.55,140.31,5612.35,False,,24.49,,
cu_00027,credit,acc_7038e31f5d1f7a742298,72.94,72.94,2917.53,False,,24.49,,
cu_00027,student,acc_26a167f4c06c7e0d9932,407.68,407.68,,False,5.5,,,
cu_00028,credit,acc_86a16a23efa40fc08384,175.0,35.0,1188.78,False,,24.49,,
cu_00028,student,acc_f874293bec6242410885,168.91,168.91,,False,5.5,,,
cu_00029,credit,acc_ed8edcefd81b8953e94f,35.0,35.0,773.95,False,,24.49,,
cu_00029,student,acc_9c188755040a41896462,216.73,216.73,,False,5.5,,,
