date,amount,name,merchant_name,pfc_primary,pfc_detailed
2026-08-18,53.27,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-18,52.83,Publix,Publix,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-18,9.53,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-18,19.57,The Press Club,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR
2026-08-19,16.55,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-19,26.24,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-20,12.97,VEG & GO PLANT BASED RIVERSIDE CA VEG & GOYUM YUM # 11M CA YUM YUM # 11M,Veg & Go Plant Based Fast Food,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-20,19.79,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-20,24.57,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-21,25.73,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-08-21,8.71,Costco,Costco,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-22,42.6,Walmart,Walmart,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-22,28.74,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-22,54.36,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-22,-1513.35,UBER PAYOUT,Uber,INCOME,INCOME_GIG_ECONOMY
2026-08-23,42.72,VIDALIA'S RESTAURANT,Vidalia's Restaurant,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-23,24.2,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-23,45.57,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-23,59.63,INSUFFICIENT FUNDS FEE,NA,BANK_FEES,BANK_FEES_INSUFFICIENT_FUNDS
2026-08-24,17.56,VIDALIA'S RESTAURANT,Vidalia's Restaurant,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-24,36.51,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-08-24,40.45,Target,Target,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-25,28.09,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-25,21.03,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-08-25,53.77,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-25,32.7,Publix,Publix,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-26,9.5,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-26,17.52,TAQUERIA EL GUERRERO,Taqueria El Guerrero,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
2026-08-26,55.16,Family Dollar,Family Dollar,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
2026-08-26,13.79,POS SMART AND FINAL 111,Smart & Final,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-26,11.39,ALDI 123131 PURCHASE ALDI 123123,Aldi,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-26,59.33,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-26,30.88,Home Depot,The Home Depot,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
2026-08-26,22.47,INSTACART HTTPSINSTACAR,Instacart,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-26,11.73,Walmart,Walmart,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
2026-08-27,24.56,Safeway,Safeway,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
2026-08-27,10.57,POKE BROS * POKE BRO,NA,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
